iter	RMSE
0	0.5164399816
1	0.5027307557
2	0.4899015428
3	0.4780714709
4	0.4667312985
5	0.455947641
6	0.4469783573
7	0.4358676419
8	0.4275762438
9	0.4195008303
10	0.4120683889
11	0.4040713013
12	0.3972922141
13	0.3895003591
14	0.3805205697
15	0.3746664201
16	0.3673980024
17	0.3601910488
18	0.3540073052
19	0.3481380829
20	0.3419660304
21	0.3372563596
22	0.3327841651
23	0.3274688698
24	0.3236157084
25	0.3183928698
26	0.314532842
27	0.3099839044
28	0.3067055478
29	0.3027306623
30	0.2990735275
31	0.2958904813
32	0.2919534997
33	0.288706132
34	0.2851717462
35	0.2824790026
36	0.2797902469
37	0.2774153708
38	0.2752302802
39	0.2734905568
40	0.2706157014
41	0.2685230126
42	0.2666892054
43	0.2649757205
44	0.2630449157
45	0.2614129031
46	0.258887396
47	0.2567096438
48	0.2547596515
49	0.2533963326
50	0.2518730026
51	0.2506576181
52	0.2497471631
53	0.2484523569
54	0.246979476
55	0.2456641763
56	0.2443675702
57	0.2425993492
58	0.2416740984
59	0.2408211719
60	0.2402750762
61	0.2390407584
62	0.2380855758
63	0.2368507871
64	0.2359737235
65	0.2352038112
66	0.2335473551
67	0.2331383106
68	0.2319589794
69	0.2308775837
70	0.2299994108
71	0.2295108221
72	0.2282000832
73	0.2275284612
74	0.2268838176
75	0.226074288
76	0.2255245552
77	0.2249464291
78	0.2241350199
79	0.2234591172
80	0.22244821
81	0.2220888462
82	0.2212319072
83	0.2200613485
84	0.2194188887
85	0.2190750379
86	0.2184803931
87	0.2180361202
88	0.2172331399
89	0.216828586
90	0.2163048922
91	0.2159778442
92	0.2157437843
93	0.2151459159
94	0.2145922007
95	0.2143778252
96	0.2135064814
97	0.2128576266
98	0.2124636305
99	0.2119640558
100	0.2109625015
101	0.2103950199
102	0.2098468795
103	0.2092999062
104	0.20897909
105	0.2083324657
106	0.2079160174
107	0.2073978457
108	0.2068862887
109	0.2063115398
110	0.2061105158
111	0.205568019
112	0.2053668839
113	0.2050313222
114	0.2048538697
115	0.2045583491
116	0.204196641
117	0.2037983942
118	0.2033473569
119	0.2031814322
120	0.2025529276
121	0.2021847452
122	0.2014859963
123	0.201073961
124	0.2008753816
125	0.2000279929
126	0.1997745982
127	0.1993227737
128	0.1990807934
129	0.1984870943
130	0.1980862064
131	0.1977971888
132	0.1975770767
133	0.1969968146
134	0.1965706565
135	0.1963924571
136	0.1961474424
137	0.1958926443
138	0.1952666455
139	0.1950822592
140	0.1947076954
141	0.194250708
142	0.1937334958
143	0.1932367254
144	0.1929402272
145	0.192769539
146	0.1923328882
147	0.1921631319
148	0.1919261817
149	0.1912691244
150	0.191003787
151	0.1906521848
152	0.1901003596
153	0.1900039518
154	0.1898705726
155	0.1896764622
156	0.1891864079
157	0.188422396
158	0.1881458141
159	0.1875007922
160	0.187095655
161	0.1868181257
162	0.1867232711
163	0.1866157533
164	0.1861917457
165	0.1856293479
166	0.1854091438
167	0.184620343
168	0.1841759085
169	0.1839550654
170	0.1837952752
171	0.183403979
172	0.1826017184
173	0.1822421351
174	0.1817894737
175	0.1816072114
176	0.1811812812
177	0.1809189788
178	0.1805061357
179	0.1804520966
180	0.1799912172
181	0.1795513589
182	0.1788311498
183	0.1782857944
184	0.1781745757
185	0.177523083
186	0.1771481628
187	0.1769365919
188	0.176860257
189	0.176691451
190	0.1765788829
191	0.1763307514
192	0.1761185797
193	0.1759320535
194	0.1757985921
195	0.1754164509
196	0.1751420543
197	0.174777499
198	0.1746505694
199	0.1741249788
200	0.1739948201
201	0.17386127
202	0.1737918257
203	0.1733027477
204	0.1728896307
205	0.1725682156
206	0.1720845688
207	0.1719569498
208	0.1718383586
209	0.1714676046
210	0.1711541582
211	0.1708590008
212	0.17038444
213	0.1698359831
214	0.1695483763
215	0.1694544916
216	0.1691335206
217	0.1686042895
218	0.1683962942
219	0.1680173711
220	0.1677541196
221	0.1676769636
222	0.167590503
223	0.1675146657
224	0.1672163921
225	0.1668868915
226	0.166596968
227	0.1662837647
228	0.1661238035
229	0.1657327594
230	0.1654545591
231	0.1651408753
232	0.1650402571
233	0.1647453425
234	0.1645515991
235	0.1642514791
236	0.1638917046
237	0.1634614522
238	0.1632261662
239	0.1630337644
240	0.1628658961
241	0.1626313498
242	0.1624483649
243	0.1622588024
244	0.1620069852
245	0.1617750561
246	0.1615186476
247	0.1613970554
248	0.1613612585
249	0.161217123
250	0.1610656208
251	0.1607431476
252	0.1606183322
253	0.1602589605
254	0.1599687037
255	0.1596653037
256	0.1593891454
257	0.1591620455
258	0.1589515732
259	0.1587301556
260	0.1584671602
261	0.1579877557
262	0.1576481503
263	0.1574802807
264	0.1572287978
265	0.1570963268
266	0.1566214108
267	0.1561534613
268	0.1557111448
269	0.1552304496
270	0.1550855629
271	0.1547912311
272	0.1545169319
273	0.1543417341
274	0.1541433955
275	0.153917505
276	0.1538218176
277	0.1536864582
278	0.1533814451
279	0.1530470823
280	0.1528211831
281	0.1524254248
282	0.1522111216
283	0.1520967364
284	0.1520158346
285	0.1518356008
286	0.151716411
287	0.1515163984
288	0.151267716
289	0.151180046
290	0.1510066429
291	0.1506144915
292	0.1504258467
293	0.1499027612
294	0.1495562481
295	0.1494697163
296	0.1490763637
297	0.148857739
298	0.1487193855
299	0.1484838609
300	0.1482021733
301	0.1481152781
302	0.1478795388
303	0.1478451849
304	0.147737783
305	0.1472846345
306	0.147036053
307	0.1468065944
308	0.1466492261
309	0.1464354126
310	0.1461397222
311	0.1460315559
312	0.1457376461
313	0.1453999773
314	0.1453265601
315	0.1450956771
316	0.1450080323
317	0.144523232
318	0.1443284875
319	0.1439006605
320	0.1437113095
321	0.1434007281
322	0.143172246
323	0.1431055858
324	0.1429412533
325	0.1429195116
326	0.1425751468
327	0.1421043746
328	0.1420387241
329	0.1416422475
330	0.1416213955
331	0.1413154353
332	0.1412535268
333	0.1412331411
334	0.1408392158
335	0.1405098596
336	0.1404329197
337	0.1404087063
338	0.1403353155
339	0.140294104
340	0.1402755542
341	0.139798668
342	0.1395663824
343	0.1394520909
344	0.1393356287
345	0.1389786535
346	0.1388029207
347	0.1384056539
348	0.1380862473
349	0.1377928485
350	0.1377239655
351	0.1376119023
352	0.1373536842
353	0.1373137533
354	0.1371312461
355	0.1370923018
356	0.1369054717
357	0.1365803384
358	0.1362375741
359	0.1361721968
360	0.1359031652
361	0.1358651105
362	0.1356660913
363	0.1355405569
364	0.1353058415
365	0.1351093407
366	0.1348643964
367	0.1343824974
368	0.1341626357
369	0.1339717417
370	0.1337933902
371	0.1337570218
372	0.133386791
373	0.1329789177
374	0.1327614059
375	0.1327025927
376	0.1325391097
377	0.132203543
378	0.1321470018
379	0.1316768418
380	0.1315535422
381	0.1313114202
382	0.1310723744
383	0.1309710121
384	0.1309309828
385	0.1308334514
386	0.1307883314
387	0.1307066003
388	0.1303245728
389	0.1301197149
390	0.1297477804
391	0.1296509994
392	0.1293585602
393	0.1291937954
394	0.1289163461
395	0.1287214369
396	0.1285617683
397	0.1282953337
398	0.1280563712
399	0.1278337894
400	0.1275784093
401	0.1272245245
402	0.1267971117
403	0.1266664343
404	0.1264246881
405	0.126279108
406	0.1260671027
407	0.1258483329
408	0.1254398549
409	0.1253404703
410	0.1249390157
