iter	Passed	Remaining
0	35	35827
1	37	18568
2	37	12621
3	38	9651
4	39	7908
5	40	6706
6	41	5850
7	42	5209
8	42	4714
9	43	4320
10	44	3993
11	45	3723
12	45	3487
13	46	3292
14	47	3132
15	48	2986
16	49	2856
17	50	2742
18	51	2642
19	52	2548
20	52	2464
21	53	2386
22	54	2309
23	55	2243
24	55	2182
25	56	2129
26	57	2077
27	58	2032
28	59	1990
29	60	1948
30	61	1914
31	62	1881
32	63	1852
33	64	1821
34	64	1790
35	65	1761
36	66	1733
37	67	1707
38	68	1677
39	68	1655
40	69	1634
41	70	1612
42	71	1591
43	72	1571
44	73	1553
45	74	1535
46	74	1520
47	75	1504
48	76	1491
49	77	1478
50	78	1464
51	79	1451
52	80	1439
53	81	1428
54	82	1415
55	83	1413
56	85	1407
57	86	1397
58	86	1385
59	87	1374
60	88	1364
61	89	1355
62	90	1345
63	91	1340
64	92	1333
65	93	1325
66	94	1317
67	95	1308
68	96	1298
69	97	1290
70	97	1280
71	98	1271
72	99	1262
73	100	1253
74	100	1245
75	101	1236
76	102	1229
77	103	1221
78	104	1216
79	105	1217
80	107	1214
81	107	1207
82	108	1200
83	109	1194
84	110	1186
85	111	1180
86	111	1173
87	112	1166
88	113	1160
89	114	1153
90	114	1148
91	115	1142
92	116	1136
93	117	1131
94	118	1125
95	118	1120
96	119	1114
97	120	1110
98	121	1105
99	122	1099
100	122	1094
101	123	1090
102	124	1086
103	125	1082
104	126	1077
105	127	1073
106	127	1068
107	128	1063
108	129	1058
109	130	1054
110	131	1049
111	131	1044
112	132	1041
113	133	1037
114	134	1033
115	135	1030
116	147	1113
117	159	1189
118	171	1271
119	183	1347
120	194	1415
121	210	1511
122	211	1507
123	212	1502
124	213	1497
125	215	1491
126	216	1486
127	217	1481
128	219	1481
129	220	1475
130	221	1469
131	222	1463
132	223	1458
133	224	1453
134	226	1448
135	227	1442
136	228	1436
137	228	1430
138	229	1424
139	231	1419
140	232	1414
141	233	1409
142	234	1404
143	235	1400
144	236	1395
